,Natural,SQL
820,Where is affiliate LTCI loacted?,SELECT Place From AffiliationID_Place_Affiliation WHERE Affiliate LIKE 'LTCI
821,Where is affiliate TIS Inc loacted?,SELECT Place From AffiliationID_Place_Affiliation WHERE Affiliate LIKE 'TIS Inc
822,Where is affiliate Vsesojuznyj Centr Perevodov loacted?,SELECT Place From AffiliationID_Place_Affiliation WHERE Affiliate LIKE 'Vsesojuznyj Centr Perevodov
823,Where is affiliate Digital Equipment Corporation loacted?,SELECT Place From AffiliationID_Place_Affiliation WHERE Affiliate LIKE 'Digital Equipment Corporation
824,Where is affiliate Institute for Defense Analyses loacted?,SELECT Place From AffiliationID_Place_Affiliation WHERE Affiliate LIKE 'Institute for Defense Analyses
825,Where is affiliate University of Neuchatel loacted?,SELECT Place From AffiliationID_Place_Affiliation WHERE Affiliate LIKE 'University of Neuchatel
826,Where is affiliate GE Aerospace loacted?,SELECT Place From AffiliationID_Place_Affiliation WHERE Affiliate LIKE 'GE Aerospace
827,Where is affiliate Financial Crimes Enforcement Network loacted?,SELECT Place From AffiliationID_Place_Affiliation WHERE Affiliate LIKE 'Financial Crimes Enforcement Network
828,Where is affiliate CNRInstitute of Cognitive Sciences and Technology loacted?,SELECT Place From AffiliationID_Place_Affiliation WHERE Affiliate LIKE 'CNRInstitute of Cognitive Sciences and Technology
829,List all authids with AF-134,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-134'
830,List all authids with AF-354,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-354'
831,List all authids with AF-1351,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-1351'
832,List all authids with AF-454,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-454'
833,List all authids with AF-1502,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-1502'
834,List all authids with AF-571,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-571'
835,List all authids with AF-1123,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-1123'
836,List all authids with AF-435,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-435'
837,List all authids with AF-3,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-3'
838,List all authids with AF-96,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-96'
839,List all authids with AF-604,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-604'
840,List all authids with AF-449,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-449'
841,List all authids with AF-319,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-319'
842,List all authids with AF-1160,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-1160'
843,List all authids with AF-209,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-209'
844,List all authids with AF-211,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-211'
845,List all authids with AF-346,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-346'
846,List all authids with AF-175,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-175'
847,List all authids with AF-758,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-758'
848,List all authids with AF-673,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-673'
849,List all authids with AF-22,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-22'
850,List all authids with AF-177,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-177'
851,List all authids with AF-863,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-863'
852,List all authids with AF-1881,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-1881'
853,List all authids with AF-922,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-922'
854,List all authids with AF-542,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-542'
855,List all authids with AF-581,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-581'
856,List all authids with AF-1673,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-1673'
857,List all authids with AF-1267,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-1267'
858,List all authids with AF-494,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-494'
859,Count all authids with AF-1395,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-1395'
860,Count all authids with AF-349,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-349'
861,Count all authids with AF-518,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-518'
862,Count all authids with AF-1576,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-1576'
863,Count all authids with AF-1016,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-1016'
864,Count all authids with AF-71,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-71'
865,Count all authids with AF-1296,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-1296'
866,Count all authids with AF-1619,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-1619'
867,Count all authids with AF-1235,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-1235'
868,Count all authids with AF-1374,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-1374'
869,Count all authids with AF-238,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-238'
870,Count all authids with AF-1174,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-1174'
871,Count all authids with AF-155,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-155'
872,Count all authids with AF-1776,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-1776'
873,Count all authids with AF-816,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-816'
874,Count all authids with AF-1897,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-1897'
875,Count all authids with AF-392,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-392'
876,Count all authids with AF-258,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-258'
877,Count all authids with AF-1293,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-1293'
878,Count all authids with AF-1824,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-1824'
879,Count all authids with AF-1031,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-1031'
880,Count all authids with AF-796,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-796'
881,Count all authids with AF-1178,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-1178'
882,Count all authids with AF-1563,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-1563'
883,Count all authids with AF-698,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-698'
884,Count all authids with AF-1215,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-1215'
885,Count all authids with AF-765,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-765'
886,Count all authids with AF-956,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-956'
887,Count all authids with AF-292,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-292'
888,Count all authids with AF-1950,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-1950'
889,List the number of authors affiliated with each affiliate which have more than 255 authors.,"SELECT Count(*),AffiliationID FROM AuthID_AffiliationID GROUP BY AffiliationID HAVING Count(*) > 255 ORDER BY Count(*) DESC"
890,List the number of authors affiliated with each affiliate which have more than 206 authors.,"SELECT Count(*),AffiliationID FROM AuthID_AffiliationID GROUP BY AffiliationID HAVING Count(*) > 206 ORDER BY Count(*) DESC"
891,List the number of authors affiliated with each affiliate which have more than 148 authors.,"SELECT Count(*),AffiliationID FROM AuthID_AffiliationID GROUP BY AffiliationID HAVING Count(*) > 148 ORDER BY Count(*) DESC"
892,List the number of authors affiliated with each affiliate which have more than 249 authors.,"SELECT Count(*),AffiliationID FROM AuthID_AffiliationID GROUP BY AffiliationID HAVING Count(*) > 249 ORDER BY Count(*) DESC"
893,List the number of authors affiliated with each affiliate which have more than 268 authors.,"SELECT Count(*),AffiliationID FROM AuthID_AffiliationID GROUP BY AffiliationID HAVING Count(*) > 268 ORDER BY Count(*) DESC"
894,List the number of authors affiliated with each affiliate.,"SELECT Count(*),AffiliationID FROM AuthID_AffiliationID GROUP BY AffiliationID ORDER BY Count(*)"
895,Give the affiliationid of A-5038  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-5038'"
896,Give the affiliationid of A-12393  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-12393'"
897,Give the affiliationid of A-17522  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-17522'"
898,Give the affiliationid of A-4452  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-4452'"
899,Give the affiliationid of A-13738  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-13738'"
900,Give the affiliationid of A-8450  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-8450'"
901,Give the affiliationid of A-2583  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-2583'"
902,Give the affiliationid of A-435  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-435'"
903,Give the affiliationid of A-8131  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-8131'"
904,Give the affiliationid of A-16160  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-16160'"
905,Give the affiliationid of A-15564  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-15564'"
906,Give the affiliationid of A-12694  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-12694'"
907,Give the affiliationid of A-14850  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-14850'"
908,Give the affiliationid of A-15047  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-15047'"
909,Give the affiliationid of A-16358  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-16358'"
910,Give the affiliationid of A-8021  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-8021'"
911,Give the affiliationid of A-9814  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-9814'"
912,Give the affiliationid of A-2412  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-2412'"
913,Give the affiliationid of A-1152  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-1152'"
914,Give the affiliationid of A-1879  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-1879'"
915,Give the affiliationid of A-16287  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-16287'"
916,Give the affiliationid of A-9966  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-9966'"
917,Give the affiliationid of A-5709  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-5709'"
918,Give the affiliationid of A-15061  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-15061'"
919,Give the affiliationid of A-1475  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-1475'"
920,Give the affiliationid of A-8829  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-8829'"
921,Give the affiliationid of A-15016  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-15016'"
922,Give the affiliationid of A-9580  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-9580'"
923,Give the affiliationid of A-2371  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-2371'"
924,Give the affiliationid of A-1710  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-1710'"
925,Give the affiliationid of A-11100  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-11100'"
926,Give the affiliationid of A-10091  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-10091'"
927,Give the affiliationid of A-8345  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-8345'"
928,Give the affiliationid of A-9953  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-9953'"
929,Give the affiliationid of A-9291  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-9291'"
930,Give the affiliationid of A-6603  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-6603'"
931,Give the affiliationid of A-11177  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-11177'"
932,Give the affiliationid of A-18105  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-18105'"
933,Give the affiliationid of A-7289  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-7289'"
934,Give the affiliationid of A-5372  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-5372'"
935,Give the affiliationid of A-17711  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-17711'"
936,Give the affiliationid of A-17730  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-17730'"
937,Give the affiliationid of A-11171  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-11171'"
938,Give the affiliationid of A-5451  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-5451'"
939,Give the affiliationid of A-15685  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-15685'"
940,Give list of authorids in field with F-5,SELECT AuthID FROM AuthID_FieldID WHERE FieldID == 'F-5'
941,Give list of authorids in field with F-0,SELECT AuthID FROM AuthID_FieldID WHERE FieldID == 'F-0'
942,Give list of authorids in field with F-9,SELECT AuthID FROM AuthID_FieldID WHERE FieldID == 'F-9'
944,Give list of authorids in field with F-10,SELECT AuthID FROM AuthID_FieldID WHERE FieldID == 'F-10'
945,Give list of authorids in field with F-4,SELECT AuthID FROM AuthID_FieldID WHERE FieldID == 'F-4'
946,Give list of authorids in field with F-1,SELECT AuthID FROM AuthID_FieldID WHERE FieldID == 'F-1'
947,Give number of authorids in field with F-4,SELECT Count(AuthID) FROM AuthID_FieldID WHERE FieldID == 'F-4'
949,Give number of authorids in field with F-1,SELECT Count(AuthID) FROM AuthID_FieldID WHERE FieldID == 'F-1'
951,Give number of authorids in field with F-2,SELECT Count(AuthID) FROM AuthID_FieldID WHERE FieldID == 'F-2'
952,Give number of authorids in field with F-3,SELECT Count(AuthID) FROM AuthID_FieldID WHERE FieldID == 'F-3'
953,Give number of authorids in field with F-10,SELECT Count(AuthID) FROM AuthID_FieldID WHERE FieldID == 'F-10'
954,List fields with the number of authors who work in it in ascending order.,"SELECT FieldID, Count(AuthID) FROM AuthID_FieldID GROUP BY FieldID ORDER BY Count(AuthID) ASC"
955,List fields having greater than 1591 authors in ascending order.,"SELECT FieldID, Count(AuthID) FROM AuthID_FieldID GROUP BY FieldID HAVING Count(AuthID) > 1591 ORDER BY Count(AuthID) ASC "
956,List fields having greater than 1240 authors in ascending order.,"SELECT FieldID, Count(AuthID) FROM AuthID_FieldID GROUP BY FieldID HAVING Count(AuthID) > 1240 ORDER BY Count(AuthID) ASC "
957,List fields having greater than 1295 authors in ascending order.,"SELECT FieldID, Count(AuthID) FROM AuthID_FieldID GROUP BY FieldID HAVING Count(AuthID) > 1295 ORDER BY Count(AuthID) ASC "
958,List fields having greater than 1529 authors in ascending order.,"SELECT FieldID, Count(AuthID) FROM AuthID_FieldID GROUP BY FieldID HAVING Count(AuthID) > 1529 ORDER BY Count(AuthID) ASC "
959,List fields having greater than 1961 authors in ascending order.,"SELECT FieldID, Count(AuthID) FROM AuthID_FieldID GROUP BY FieldID HAVING Count(AuthID) > 1961 ORDER BY Count(AuthID) ASC "
960,List authorids which work in more than 2 fields in ascending order.,"SELECT Count(FieldID), AuthID FROM AuthID_FieldID GROUP BY AuthID HAVING Count(FieldID)>2 ORDER BY Count(FieldID) ASC"
961,What is the Name of the Author with ID A-2609 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-2609';
962,What is the Name of the Author with ID A-10578 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-10578';
963,What is the Name of the Author with ID A-15191 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-15191';
964,What is the Name of the Author with ID A-8564 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-8564';
965,What is the Name of the Author with ID A-3338 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-3338';
966,What is the Name of the Author with ID A-8579 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-8579';
967,What is the Name of the Author with ID A-13301 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-13301';
968,What is the Name of the Author with ID A-2724 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-2724';
969,What is the Name of the Author with ID A-18336 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-18336';
970,What is the Name of the Author with ID A-1973 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-1973';
971,What is the Name of the Author with ID A-8747 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-8747';
972,What is the Name of the Author with ID A-14583 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-14583';
973,What is the Name of the Author with ID A-17020 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-17020';
974,What is the Name of the Author with ID A-301 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-301';
975,What is the Name of the Author with ID A-12328 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-12328';
976,What is the Name of the Author with ID A-6798 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-6798';
977,What is the Name of the Author with ID A-9047 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-9047';
978,What is the Name of the Author with ID A-2872 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-2872';
979,What is the Name of the Author with ID A-757 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-757';
980,What is the Name of the Author with ID A-494 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-494';
981,What is the Name of the Author with ID A-15069 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-15069';
982,What is the Name of the Author with ID A-2163 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-2163';
983,What is the Name of the Author with ID A-11267 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-11267';
984,What is the Name of the Author with ID A-7507 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-7507';
986,What is the Name of the Author with ID A-18251 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-18251';
987,What is the Name of the Author with ID A-8927 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-8927';
988,What is the Name of the Author with ID A-5063 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-5063';
989,What is the Name of the Author with ID A-3422 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-3422';
990,What is the Name of the Author with ID A-13068 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-13068';
991,What is the Name of the Author with ID A-16709 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-16709';
992,What is the Name of the Author with ID A-8511 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-8511';
993,What is the Name of the Author with ID A-13904 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-13904';
994,What is the Name of the Author with ID A-16761 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-16761';
995,What is the Name of the Author with ID A-11549 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-11549';
996,What is the Name of the Author with ID A-2651 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-2651';
997,What is the Name of the Author with ID A-10110 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-10110';
998,What is the Name of the Author with ID A-10486 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-10486';
999,What is the Name of the Author with ID A-17717 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-17717';
1000,What is the Name of the Author with ID A-18192 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-18192';
1001,What is the Name of the Author with ID A-3389 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-3389';
1002,What is the Name of the Author with ID A-12398 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-12398';
1003,What is the Name of the Author with ID A-16135 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-16135';
1004,What is the Name of the Author with ID A-14298 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-14298';
1005,What is the Name of the Author with ID A-11964 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-11964';
1006,Name the author whose ID is A-458,SELECT Name FROM AuthID_Name WHERE AuthID='A-458';
1007,Name the author whose ID is A-10585,SELECT Name FROM AuthID_Name WHERE AuthID='A-10585';
1008,Name the author whose ID is A-10155,SELECT Name FROM AuthID_Name WHERE AuthID='A-10155';
1009,Name the author whose ID is A-3382,SELECT Name FROM AuthID_Name WHERE AuthID='A-3382';
1010,Name the author whose ID is A-12020,SELECT Name FROM AuthID_Name WHERE AuthID='A-12020';
1011,Name the author whose ID is A-14892,SELECT Name FROM AuthID_Name WHERE AuthID='A-14892';
1012,Name the author whose ID is A-16125,SELECT Name FROM AuthID_Name WHERE AuthID='A-16125';
1013,Name the author whose ID is A-10416,SELECT Name FROM AuthID_Name WHERE AuthID='A-10416';
1014,Name the author whose ID is A-2185,SELECT Name FROM AuthID_Name WHERE AuthID='A-2185';
1015,Name the author whose ID is A-14251,SELECT Name FROM AuthID_Name WHERE AuthID='A-14251';
1016,Name the author whose ID is A-9092,SELECT Name FROM AuthID_Name WHERE AuthID='A-9092';
1017,Name the author whose ID is A-18013,SELECT Name FROM AuthID_Name WHERE AuthID='A-18013';
1018,Name the author whose ID is A-16144,SELECT Name FROM AuthID_Name WHERE AuthID='A-16144';
1019,Name the author whose ID is A-2151,SELECT Name FROM AuthID_Name WHERE AuthID='A-2151';
1020,Name the author whose ID is A-17016,SELECT Name FROM AuthID_Name WHERE AuthID='A-17016';
1021,Name the author whose ID is A-7022,SELECT Name FROM AuthID_Name WHERE AuthID='A-7022';
1022,Name the author whose ID is A-4626,SELECT Name FROM AuthID_Name WHERE AuthID='A-4626';
1023,Name the author whose ID is A-11431,SELECT Name FROM AuthID_Name WHERE AuthID='A-11431';
1024,Name the author whose ID is A-11415,SELECT Name FROM AuthID_Name WHERE AuthID='A-11415';
1025,Name the author whose ID is A-12712,SELECT Name FROM AuthID_Name WHERE AuthID='A-12712';
1026,Name the author whose ID is A-13973,SELECT Name FROM AuthID_Name WHERE AuthID='A-13973';
1027,Name the author whose ID is A-7179,SELECT Name FROM AuthID_Name WHERE AuthID='A-7179';
1028,Name the author whose ID is A-5532,SELECT Name FROM AuthID_Name WHERE AuthID='A-5532';
1029,Name the author whose ID is A-12848,SELECT Name FROM AuthID_Name WHERE AuthID='A-12848';
1030,Name the author whose ID is A-7430,SELECT Name FROM AuthID_Name WHERE AuthID='A-7430';
1031,Name the author whose ID is A-13258,SELECT Name FROM AuthID_Name WHERE AuthID='A-13258';
1032,Name the author whose ID is A-5217,SELECT Name FROM AuthID_Name WHERE AuthID='A-5217';
1033,Name the author whose ID is A-1379,SELECT Name FROM AuthID_Name WHERE AuthID='A-1379';
1034,Name the author whose ID is A-2939,SELECT Name FROM AuthID_Name WHERE AuthID='A-2939';
1035,Name the author whose ID is A-6327,SELECT Name FROM AuthID_Name WHERE AuthID='A-6327';
1036,Name the author whose ID is A-10519,SELECT Name FROM AuthID_Name WHERE AuthID='A-10519';
1037,Name the author whose ID is A-15472,SELECT Name FROM AuthID_Name WHERE AuthID='A-15472';
1038,Name the author whose ID is A-10643,SELECT Name FROM AuthID_Name WHERE AuthID='A-10643';
1039,Name the author whose ID is A-2728,SELECT Name FROM AuthID_Name WHERE AuthID='A-2728';
1040,Name the author whose ID is A-5667,SELECT Name FROM AuthID_Name WHERE AuthID='A-5667';
1041,Name the author whose ID is A-14817,SELECT Name FROM AuthID_Name WHERE AuthID='A-14817';
1042,Name the author whose ID is A-16607,SELECT Name FROM AuthID_Name WHERE AuthID='A-16607';
1043,Name the author whose ID is A-3989,SELECT Name FROM AuthID_Name WHERE AuthID='A-3989';
1044,Name the author whose ID is A-12902,SELECT Name FROM AuthID_Name WHERE AuthID='A-12902';
1045,Name the author whose ID is A-4928,SELECT Name FROM AuthID_Name WHERE AuthID='A-4928';
1046,Name the author whose ID is A-655,SELECT Name FROM AuthID_Name WHERE AuthID='A-655';
1047,Name the author whose ID is A-16011,SELECT Name FROM AuthID_Name WHERE AuthID='A-16011';
1048,Name the author whose ID is A-8221,SELECT Name FROM AuthID_Name WHERE AuthID='A-8221';
1049,Name the author whose ID is A-16141,SELECT Name FROM AuthID_Name WHERE AuthID='A-16141';
1050,Name the author whose ID is A-12113,SELECT Name FROM AuthID_Name WHERE AuthID='A-12113';
1051,"What is the ID of the Author whose name is Jha, Krishna Nanda ?","SELECT AuthID FROM AuthID_Name WHERE Name='Jha, Krishna Nanda';"
1052,"What is the ID of the Author whose name is McCarthy, Joseph ?","SELECT AuthID FROM AuthID_Name WHERE Name='McCarthy, Joseph';"
1053,"What is the ID of the Author whose name is Rohwer, Richard ?","SELECT AuthID FROM AuthID_Name WHERE Name='Rohwer, Richard';"
1054,"What is the ID of the Author whose name is Volosen, Ionut ?","SELECT AuthID FROM AuthID_Name WHERE Name='Volosen, Ionut';"
1055,"What is the ID of the Author whose name is Tan, Songbo ?","SELECT AuthID FROM AuthID_Name WHERE Name='Tan, Songbo';"
1056,"What is the ID of the Author whose name is Nagi, Magdy ?","SELECT AuthID FROM AuthID_Name WHERE Name='Nagi, Magdy';"
1057,"What is the ID of the Author whose name is Xu, Ping ?","SELECT AuthID FROM AuthID_Name WHERE Name='Xu, Ping';"
1058,"What is the ID of the Author whose name is Blanchon, Herv ?","SELECT AuthID FROM AuthID_Name WHERE Name='Blanchon, Herv';"
1059,"What is the ID of the Author whose name is Ruokolainen, Teemu ?","SELECT AuthID FROM AuthID_Name WHERE Name='Ruokolainen, Teemu';"
