,Natural,SQL
461,What is the Field ID in which the conference with ID C-42 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-42' ;
462,What is the Field ID in which the conference with ID C-500 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-500' ;
463,What is the Field ID in which the conference with ID C-594 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-594' ;
464,What is the Field ID in which the conference with ID C-205 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-205' ;
465,What is the Field ID in which the conference with ID C-310 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-310' ;
466,What is the Field ID in which the conference with ID C-219 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-219' ;
467,What is the Field ID in which the conference with ID C-418 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-418' ;
468,What is the Field ID in which the conference with ID C-82 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-82' ;
469,What is the Field ID in which the conference with ID C-607 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-607' ;
470,What is the Field ID in which the conference with ID C-574 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-574' ;
471,What is the Field ID in which the conference with ID C-424 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-424' ;
472,What is the Field ID in which the conference with ID C-396 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-396' ;
473,What is the Field ID in which the conference with ID C-483 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-483' ;
474,What is the Field ID in which the conference with ID C-621 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-621' ;
475,What is the Field ID in which the conference with ID C-633 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-633' ;
476,What is the Field ID in which the conference with ID C-124 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-124' ;
477,What is the Field ID in which the conference with ID C-432 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-432' ;
478,What is the Field ID in which the conference with ID C-485 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-485' ;
479,What is the Field ID in which the conference with ID C-600 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-600' ;
480,What is the Field ID in which the conference with ID C-622 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-622' ;
481,What is the Field ID in which the conference with ID C-652 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-652' ;
482,What is the Field ID in which the conference with ID C-633 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-633' ;
483,What is the Field ID in which the conference with ID C-437 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-437' ;
484,What is the Field ID in which the conference with ID C-248 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-248' ;
485,What is the Field ID in which the conference with ID C-460 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-460' ;
486,What is the Field ID in which the conference with ID C-327 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-327' ;
487,What is the Field ID in which the conference with ID C-557 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-557' ;
488,What is the Field ID in which the conference with ID C-43 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-43' ;
489,What is the Field ID in which the conference with ID C-388 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-388' ;
490,What is the Field ID in which the conference with ID C-108 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-108' ;
491,What is the Field ID in which the conference with ID C-387 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-387' ;
492,What is the Field ID in which the conference with ID C-461 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-461' ;
493,What is the Field ID in which the conference with ID C-494 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-494' ;
494,What is the Field ID in which the conference with ID C-368 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-368' ;
495,What is the Field ID in which the conference with ID C-535 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-535' ;
496,What is the Field ID in which the conference with ID C-283 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-283' ;
497,What is the Field ID in which the conference with ID C-27 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-27' ;
498,How many number of conference have ID that starts with C-3?,SELECT COUNT(*) FROM ConfID_FieldID WHERE ConfID LIKE 'C-3%' ;
499,How many number of conference have ID that starts with C-5?,SELECT COUNT(*) FROM ConfID_FieldID WHERE ConfID LIKE 'C-5%' ;
500,How many number of conference have ID that starts with C-2?,SELECT COUNT(*) FROM ConfID_FieldID WHERE ConfID LIKE 'C-2%' ;
501,How many number of conference have ID that starts with C-4?,SELECT COUNT(*) FROM ConfID_FieldID WHERE ConfID LIKE 'C-4%' ;
502,How many number of conference have ID that starts with C-1?,SELECT COUNT(*) FROM ConfID_FieldID WHERE ConfID LIKE 'C-1%' ;
